date,product_id,sales,category,region,price,discount,rating,views,clicks
2024-01-01,P017,54,A,South,66.9,2.85,4,3046,34
2024-01-02,P018,48,B,North,85.26,5.02,3,337,85
2024-01-03,P004,56,E,North,70.81,35.53,2,3467,253
2024-01-04,P003,65,C,North,51.85,5.16,2,3065,307
2024-01-05,P008,47,D,West,67.4,24.02,5,3926,87
2024-01-06,P004,47,A,East,39.0,9.23,2,3741,300
2024-01-07,P015,65,A,South,22.97,7.04,3,4948,396
2024-01-08,P013,57,E,North,38.77,19.52,2,692,27
2024-01-09,P014,45,A,North,49.93,6.29,1,4111,195
2024-01-10,P014,55,E,South,49.53,11.58,3,3408,210
2024-01-11,P005,45,A,South,76.38,10.15,5,463,18
2024-01-12,P005,45,A,West,94.27,31.88,1,4876,461
2024-01-13,P013,52,E,North,45.01,28.55,3,1186,12
2024-01-14,P004,31,D,North,17.78,1.95,1,2027,123
2024-01-15,P018,33,A,West,13.01,3.92,3,628,98
2024-01-16,P006,44,B,West,10.36,4.38,4,2991,168
2024-01-17,P005,40,C,South,94.43,22.44,2,3024,394
2024-01-18,P003,53,E,East,99.61,18.44,4,3933,104
2024-01-19,P020,41,A,South,14.62,3.25,5,4888,179
2024-01-20,P003,36,D,West,42.24,17.67,4,3156,190
2024-01-21,P003,65,B,East,70.24,30.82,2,3153,126
2024-01-22,P020,48,E,West,26.11,7.23,3,1943,259
2024-01-23,P002,51,B,North,63.5,9.19,1,1328,149
2024-01-24,P020,36,C,West,83.23,2.98,3,2472,324
2024-01-25,P018,44,D,East,87.23,21.84,3,2805,66
2024-01-26,P010,51,E,East,73.58,25.67,1,1482,97
2024-01-27,P007,38,E,North,17.36,0.63,1,3120,234
2024-01-28,P020,54,A,North,41.36,3.92,1,4571,403
2024-01-29,P014,44,B,East,97.06,55.31,4,1651,467
2024-01-30,P010,47,E,South,27.35,7.39,5,609,299
2024-01-31,P020,44,B,West,50.85,18.32,1,2743,122
2024-02-01,P016,69,C,South,40.08,19.63,1,4547,18
2024-02-02,P006,50,A,North,28.5,16.24,4,4050,96
2024-02-03,P017,40,C,West,39.12,30.6,2,2047,44
2024-02-04,P006,58,A,West,27.06,11.57,4,4001,304
2024-02-05,P018,38,A,North,88.95,31.97,5,2956,170
2024-02-06,P010,52,B,South,25.7,8.47,2,3705,468
2024-02-07,P010,31,A,South,66.12,24.24,5,3366,249
2024-02-08,P009,37,C,North,94.81,13.78,4,2521,356
2024-02-09,P015,52,C,South,95.74,22.5,4,2129,354
2024-02-10,P011,58,C,East,64.04,25.37,1,3429,120
2024-02-11,P007,52,B,North,34.38,15.07,3,4310,295
2024-02-12,P018,49,B,East,32.31,4.72,1,319,15
2024-02-13,P002,47,D,East,77.27,29.13,1,2711,273
2024-02-14,P002,36,E,East,98.26,19.12,3,4419,436
2024-02-15,P013,43,D,West,16.98,4.07,4,2025,486
2024-02-16,P011,46,D,East,81.05,13.86,3,3395,86
2024-02-17,P019,61,A,South,21.07,11.73,3,2296,342
2024-02-18,P020,54,A,North,36.84,18.17,5,1898,425
2024-02-19,P001,33,D,South,61.0,31.12,2,667,278
2024-02-20,P017,54,E,East,36.75,15.42,1,785,287
2024-02-21,P020,47,D,East,68.52,43.49,4,2385,401
2024-02-22,P018,44,B,East,47.55,7.09,2,1399,421
2024-02-23,P008,57,C,East,29.72,3.08,3,307,368
2024-02-24,P013,61,D,North,57.78,11.55,4,4744,279
2024-02-25,P004,60,A,North,12.16,3.15,3,3222,10
2024-02-26,P019,42,E,West,76.7,21.44,3,898,80
2024-02-27,P003,47,A,North,57.01,4.35,5,2830,245
2024-02-28,P006,54,B,East,95.2,3.56,1,1693,409
2024-02-29,P006,60,A,West,19.25,5.33,4,3748,110
2024-03-01,P006,46,A,East,75.91,4.1,1,274,293
2024-03-02,P008,49,E,West,37.09,5.51,1,2761,398
2024-03-03,P017,40,E,North,43.58,9.67,5,761,33
2024-03-04,P010,39,A,North,41.36,7.44,3,2596,384
2024-03-05,P005,59,A,North,42.22,15.76,2,1685,448
2024-03-06,P019,64,D,West,48.78,12.12,1,331,226
2024-03-07,P011,50,B,South,11.89,5.99,4,3496,82
2024-03-08,P010,61,D,East,86.21,36.04,3,1732,477
2024-03-09,P003,54,E,North,89.36,40.1,4,3713,31
2024-03-10,P010,44,D,North,13.56,7.47,1,1955,87
2024-03-11,P002,54,D,East,79.84,7.76,3,4142,478
2024-03-12,P009,66,A,South,16.5,6.1,2,4023,49
2024-03-13,P005,50,A,East,82.7,12.27,3,3269,436
2024-03-14,P017,66,B,North,65.17,27.61,3,807,485
2024-03-15,P006,25,C,North,37.57,9.06,5,3764,401
2024-03-16,P011,59,C,South,65.25,5.42,1,4843,13
2024-03-17,P005,52,D,West,55.6,26.56,4,1957,426
2024-03-18,P007,48,B,South,67.22,15.62,1,1417,313
2024-03-19,P007,52,B,East,52.78,13.47,1,844,178
2024-03-20,P004,31,E,North,79.56,7.16,3,4932,430
2024-03-21,P010,49,A,South,14.07,8.22,4,518,404
2024-03-22,P018,55,E,North,40.99,21.86,5,2956,464
2024-03-23,P001,66,C,West,60.34,16.73,3,2670,98
2024-03-24,P014,46,B,South,62.94,29.9,5,4168,148
2024-03-25,P006,43,C,South,25.26,2.19,4,199,126
2024-03-26,P011,46,A,North,16.71,3.1,3,2991,173
2024-03-27,P014,60,A,West,11.89,6.41,3,1990,50
2024-03-28,P020,54,A,North,47.17,1.17,1,219,102
2024-03-29,P003,46,C,East,39.73,13.97,1,3652,276
2024-03-30,P016,56,B,East,61.1,7.29,3,848,100
2024-03-31,P016,52,E,West,50.46,16.45,3,901,11
2024-04-01,P007,61,B,East,45.47,14.74,3,815,116
2024-04-02,P008,44,B,North,85.9,14.94,3,1262,84
2024-04-03,P004,48,D,South,65.94,29.79,4,3967,19
2024-04-04,P012,47,B,East,68.15,17.19,5,4685,216
2024-04-05,P012,37,E,West,44.36,19.81,2,1971,443
2024-04-06,P010,54,D,West,79.92,35.92,5,1038,233
2024-04-07,P012,54,B,North,23.69,6.65,1,2502,125
2024-04-08,P011,51,D,East,46.18,9.41,5,4295,351
